,Times runned,Elevation,temperature,M,F,humidity,arrival_time
0,1,16.08767890930176,36.63,1,0,0.87,0:29:43
1,1,2293.990966796875,36.63,1,0,0.87,0:29:43
2,1,2363.342041015625,36.63,1,0,0.87,0:29:43
3,1,2070.04833984375,36.63,1,0,0.87,0:29:44
4,1,1895.031005859375,36.63,1,0,0.87,0:29:44
5,1,218.5335693359375,36.63,1,0,0.87,0:29:45
6,1,15.224977493286133,36.63,1,0,0.87,0:29:44
7,1,2293.990966796875,36.63,1,0,0.87,0:29:43
8,1,192.0034942626953,36.63,1,0,0.87,0:30:34
9,1,16.83182334899902,36.63,1,0,0.87,0:29:50
10,1,1623.9774169921882,36.63,1,0,0.87,0:30:34
11,1,70.96458435058594,36.63,1,0,0.87,0:29:44
12,1,2103.939453125,36.63,1,0,0.87,0:29:44
13,1,182.86663818359384,36.63,1,0,0.87,0:32:17
14,1,1623.9774169921882,36.63,1,0,0.87,0:32:19
15,1,151.7860565185547,36.63,1,0,0.87,0:32:17
16,1,11.42669010162354,36.63,1,0,0.87,0:32:21
17,1,259.998291015625,36.63,1,0,0.87,0:32:17
18,1,21.80615043640137,36.63,1,0,0.87,0:32:20
19,1,37.14537048339844,36.63,1,0,0.87,0:29:51
20,1,140.6603088378906,36.63,1,0,0.87,0:32:21
21,1,35.90165328979492,36.63,1,0,0.87,0:32:22
22,1,35.65705490112305,36.63,1,0,0.87,0:32:22
23,1,89.8837890625,36.63,1,0,0.87,0:31:05
24,1,15.55781936645508,36.63,1,0,0.87,0:31:54
25,1,1088.349243164062,36.63,1,0,0.87,0:32:21
26,1,380.0,36.63,1,0,0.87,0:32:23
27,1,181.5143737792969,36.63,1,0,0.87,0:33:35
28,1,218.7236022949219,36.63,1,0,0.87,0:32:20
29,1,2371.603271484375,36.63,0,1,0.87,0:34:24
30,1,94.6029815673828,36.63,0,1,0.87,0:34:23
31,1,15.55781936645508,36.63,1,0,0.87,0:33:31
32,1,401.7437133789062,36.63,0,1,0.87,0:34:23
33,1,53.74789428710938,36.63,1,0,0.87,0:34:16
34,1,37.14537048339844,36.63,1,0,0.87,0:32:58
35,1,421.3871459960938,36.63,1,0,0.87,0:33:31
36,1,396.0248413085938,36.63,1,0,0.87,0:33:26
37,1,10.44183731079102,36.63,1,0,0.87,0:33:13
38,1,288.6472473144531,36.63,0,1,0.87,0:34:24
39,1,37.14537048339844,36.63,1,0,0.87,0:30:24
40,1,1623.9774169921882,36.63,1,0,0.87,0:33:43
41,1,56.084815979003906,36.63,1,0,0.87,0:32:32
42,1,2363.342041015625,36.63,0,1,0.87,0:34:24
43,1,10.96754741668701,36.63,1,0,0.87,0:34:04
44,1,140.9563293457031,36.63,1,0,0.87,0:33:51
45,1,14.447757720947273,36.63,1,0,0.87,0:33:34
46,1,148.55224609375,36.63,1,0,0.87,0:33:11
47,1,1596.6729736328118,36.63,1,0,0.87,0:33:49
48,1,120.9079360961914,36.63,1,0,0.87,0:33:30
49,1,865.1586303710938,36.63,1,0,0.87,0:33:36
50,1,1951.2591552734384,36.63,0,1,0.87,0:34:23
51,2,203.7541961669922,36.63,1,0,0.87,0:33:09
52,1,94.6029815673828,36.63,0,1,0.87,0:34:23
53,1,10.44183731079102,36.63,1,0,0.87,0:32:57
54,1,248.39337158203116,36.63,1,0,0.87,0:34:16
55,1,361.7695922851562,36.63,1,0,0.87,0:32:58
56,1,368.9474792480469,36.63,0,1,0.87,0:34:23
57,1,47.37548446655273,36.63,1,0,0.87,0:34:21
58,1,77.97574615478516,36.63,1,0,0.87,0:32:32
59,1,219.4850006103516,36.63,1,0,0.87,0:32:15
60,1,16.83182334899902,36.63,0,1,0.87,0:34:24
61,1,18.71355819702148,36.63,1,0,0.87,0:33:35
62,1,350.7449645996094,36.63,1,0,0.87,0:33:54
63,1,181.5143737792969,36.63,1,0,0.87,0:33:35
64,1,58.93083190917969,36.63,1,0,0.87,0:34:29
65,1,14.32654094696045,36.63,1,0,0.87,0:34:06
66,1,12.69220733642578,36.63,1,0,0.87,0:35:03
67,1,42.68008041381836,36.63,1,0,0.87,0:33:36
68,1,4.0,36.63,1,0,0.87,0:33:36
69,1,23.74346733093262,36.63,1,0,0.87,0:34:45
70,1,144.104248046875,36.63,1,0,0.87,0:34:16
71,1,176.5647430419922,36.63,1,0,0.87,0:34:34
72,1,86.84709167480469,36.63,1,0,0.87,0:33:31
73,1,2358.822509765625,36.63,0,1,0.87,0:34:23
74,1,35.90165328979492,36.63,1,0,0.87,0:34:16
75,1,263.49282836914057,36.63,1,0,0.87,0:32:19
76,1,206.7012023925781,36.63,0,1,0.87,0:34:23
77,1,12.58986759185791,36.63,1,0,0.87,0:35:28
78,1,69.00289916992189,36.63,1,0,0.87,0:34:56
79,1,202.9051818847656,36.63,1,0,0.87,0:34:10
80,1,15.224977493286133,36.63,1,0,0.87,0:35:02
81,1,10.44183731079102,36.63,1,0,0.87,0:34:06
82,1,31.781719207763672,36.63,1,0,0.87,0:33:31
83,1,39.52106094360352,36.63,1,0,0.87,0:34:06
84,1,142.3699798583984,36.63,1,0,0.87,0:35:30
85,1,215.4762725830078,36.63,1,0,0.87,0:34:24
86,1,121.3621368408203,36.63,1,0,0.87,0:35:10
87,1,187.2318572998047,36.63,1,0,0.87,0:34:00
88,1,56.084815979003906,36.63,1,0,0.87,0:35:04
89,1,3.8890023231506343,36.63,1,0,0.87,0:35:01
90,1,137.57452392578122,36.63,1,0,0.87,0:35:21
91,1,149.1394653320312,36.63,1,0,0.87,0:35:17
92,1,292.6947631835938,36.63,1,0,0.87,0:33:35
93,1,1.539181590080261,36.63,1,0,0.87,0:35:28
94,1,16.84739112854004,36.63,1,0,0.87,0:34:38
95,1,499.8729553222656,36.63,1,0,0.87,0:36:23
96,1,273.54550170898443,36.63,1,0,0.87,0:35:46
97,1,142.3699798583984,36.63,1,0,0.87,0:35:29
98,1,187.2318572998047,36.63,1,0,0.87,0:36:03
99,1,109.5502395629883,36.63,1,0,0.87,0:35:17
100,1,16.84739112854004,36.63,1,0,0.87,0:35:49
101,1,2103.939453125,36.63,1,0,0.87,0:35:23
102,1,133.20930480957028,36.63,1,0,0.87,0:35:30
103,1,89.8837890625,36.63,1,0,0.87,0:34:41
104,1,13.70660877227783,36.63,1,0,0.87,0:35:19
105,1,6.027743339538574,36.63,1,0,0.87,0:34:45
106,1,380.0,36.63,1,0,0.87,0:35:26
107,1,56.084815979003906,36.63,1,0,0.87,0:35:21
108,1,11.085031509399409,36.63,1,0,0.87,0:35:53
109,1,233.7287750244141,36.63,1,0,0.87,0:33:07
110,1,7.965522289276122,36.63,1,0,0.87,0:35:27
111,1,31.97005462646484,36.63,1,0,0.87,0:35:17
112,3,33.42565536499023,36.63,1,0,0.87,0:36:23
113,1,1.645776271820068,36.63,1,0,0.87,0:35:19
114,1,10.44776248931885,36.63,1,0,0.87,0:36:23
115,1,149.1394653320312,36.63,1,0,0.87,0:35:54
116,1,499.8729553222656,36.63,1,0,0.87,0:36:22
117,1,11.67500591278076,36.63,1,0,0.87,0:36:06
118,1,0.5368872284889221,36.63,1,0,0.87,0:35:21
119,1,1831.0819091796882,36.63,1,0,0.87,0:36:21
120,1,237.6291656494141,36.63,1,0,0.87,0:34:31
121,1,10.44776248931885,36.63,1,0,0.87,0:33:41
122,1,220.1817321777344,36.63,1,0,0.87,0:34:58
123,1,194.8641204833984,36.63,1,0,0.87,0:35:52
124,1,217.5126495361328,36.63,1,0,0.87,0:36:16
125,1,87.09457397460938,36.63,1,0,0.87,0:36:41
126,1,106.79998779296879,36.63,1,0,0.87,0:36:36
127,1,15.55781936645508,36.63,1,0,0.87,0:36:18
128,1,13.70660877227783,36.63,1,0,0.87,0:35:20
129,1,75.1241455078125,36.63,1,0,0.87,0:34:52
130,1,2.790159702301025,36.63,1,0,0.87,0:36:05
131,1,17.66356468200684,36.63,1,0,0.87,0:35:23
132,1,320.0387878417969,36.63,1,0,0.87,0:36:05
133,1,108.5567169189453,36.63,1,0,0.87,0:36:33
134,1,104.7041854858398,36.63,1,0,0.87,0:34:40
135,1,11.085031509399409,36.63,1,0,0.87,0:37:12
136,1,56.00885772705078,36.63,1,0,0.87,0:35:17
137,1,16.84739112854004,36.63,1,0,0.87,0:33:59
138,1,10.44776248931885,36.63,1,0,0.87,0:36:59
139,1,14.359289169311518,36.63,1,0,0.87,0:35:25
140,1,366.0434265136719,36.63,1,0,0.87,0:35:51
141,1,221.5890655517578,36.63,1,0,0.87,0:36:02
142,1,263.49282836914057,36.63,1,0,0.87,0:35:31
143,1,666.8341674804688,36.63,1,0,0.87,0:36:20
144,1,132.6146392822266,36.63,0,1,0.87,0:34:57
145,1,56.084815979003906,36.63,1,0,0.87,0:35:55
146,1,5.729408264160156,36.63,1,0,0.87,0:36:40
147,1,13.315147399902338,36.63,1,0,0.87,0:36:17
148,1,3.118554830551147,36.63,1,0,0.87,0:35:51
149,1,55.22239303588867,36.63,1,0,0.87,0:37:16
150,1,113.38473510742192,36.63,1,0,0.87,0:34:41
151,1,2930.111572265625,36.63,1,0,0.87,0:33:43
152,1,259.998291015625,36.63,1,0,0.87,0:37:14
153,1,182.8298187255859,36.63,1,0,0.87,0:35:03
154,1,897.9967651367188,36.63,1,0,0.87,0:36:46
155,1,7.309962749481201,36.63,1,0,0.87,0:37:08
156,1,278.0033569335938,36.63,1,0,0.87,0:36:19
157,1,232.5149993896484,36.63,1,0,0.87,0:35:26
158,1,199.8629608154297,36.63,1,0,0.87,0:34:26
159,1,79.19601440429688,36.63,1,0,0.87,0:36:43
160,1,70.12425231933594,36.63,1,0,0.87,0:35:53
161,1,260.29702758789057,36.63,1,0,0.87,0:37:36
162,1,16.84739112854004,36.63,1,0,0.87,0:36:47
163,1,31.71040916442871,36.63,1,0,0.87,0:35:58
164,1,148.55224609375,36.63,1,0,0.87,0:33:48
165,1,16.83182334899902,36.63,1,0,0.87,0:36:53
166,1,284.6058349609375,36.63,1,0,0.87,0:35:51
167,1,514.8724365234375,36.63,1,0,0.87,0:34:53
168,1,152.5553283691406,36.63,1,0,0.87,0:35:40
169,1,1300.004516601562,36.63,1,0,0.87,0:33:04
170,1,254.7844543457031,36.63,1,0,0.87,0:35:31
171,1,17.05924987792969,36.63,1,0,0.87,0:36:14
172,1,263.49282836914057,36.63,1,0,0.87,0:38:19
173,1,614.4942016601562,36.63,1,0,0.87,0:37:32
174,1,161.7024841308594,36.63,1,0,0.87,0:36:47
175,1,81.51506042480469,36.63,1,0,0.87,0:36:15
176,1,19.94200897216797,36.63,1,0,0.87,0:36:48
177,1,13.346641540527338,36.63,1,0,0.87,0:35:01
178,1,2103.939453125,36.63,1,0,0.87,0:37:24
179,1,206.1729736328125,36.63,1,0,0.87,0:37:01
180,1,51.94340515136719,36.63,1,0,0.87,0:36:41
181,1,14.32654094696045,36.63,1,0,0.87,0:35:42
182,1,8.94913387298584,36.63,1,0,0.87,0:36:41
183,1,527.0923461914061,36.63,1,0,0.87,0:35:48
184,1,194.29931640625,36.63,1,0,0.87,0:33:58
185,1,1.7231634855270392,36.63,1,0,0.87,0:36:43
186,1,181.5143737792969,36.63,1,0,0.87,0:35:28
187,1,50.26950454711914,36.63,1,0,0.87,0:37:37
188,1,2108.50048828125,36.63,1,0,0.87,0:37:53
189,1,75.91120910644531,36.63,1,0,0.87,0:34:40
190,1,77.97574615478516,36.63,1,0,0.87,0:35:25
191,1,376.3503112792969,36.63,1,0,0.87,0:35:21
192,1,5.664112567901611,36.63,1,0,0.87,0:37:30
193,1,10.44776248931885,36.63,1,0,0.87,0:37:11
194,1,263.0969848632812,36.63,1,0,0.87,0:37:12
195,1,779.2720947265625,36.63,1,0,0.87,0:36:12
196,1,222.7997283935547,36.63,1,0,0.87,0:36:02
197,1,181.5143737792969,36.63,1,0,0.87,0:35:52
198,1,181.5143737792969,36.63,1,0,0.87,0:35:49
199,1,0.0,36.63,1,0,0.87,0:36:54
200,1,77.97574615478516,36.63,1,0,0.87,0:37:04
201,1,14.32654094696045,36.63,1,0,0.87,0:36:03
202,1,614.4942016601562,36.63,1,0,0.87,0:36:28
203,1,22.23203277587891,36.63,1,0,0.87,0:37:32
204,1,10.44183731079102,36.63,1,0,0.87,0:37:23
205,1,15.55781936645508,36.63,1,0,0.87,0:36:55
206,1,225.5828399658203,36.63,1,0,0.87,0:37:43
207,1,3.920108318328857,36.63,1,0,0.87,0:36:41
208,1,244.1101379394531,36.63,1,0,0.87,0:35:02
209,1,42.47363662719727,36.63,1,0,0.87,0:36:08
210,1,1.7231634855270392,36.63,1,0,0.87,0:36:53
211,1,194.29931640625,36.63,1,0,0.87,0:37:00
212,1,6.0,36.63,1,0,0.87,0:37:21
213,1,31.71040916442871,36.63,1,0,0.87,0:33:49
214,1,1831.0819091796882,36.63,1,0,0.87,0:37:10
215,1,189.8713836669922,36.63,1,0,0.87,0:37:25
216,1,56.084815979003906,36.63,1,0,0.87,0:37:22
217,1,377.5501098632812,36.63,1,0,0.87,0:37:08
218,1,83.9320068359375,36.63,1,0,0.87,0:35:39
219,1,206.0412750244141,36.63,1,0,0.87,0:36:52
220,1,119.56497192382808,36.63,1,0,0.87,0:36:36
221,1,140.58866882324222,36.63,1,0,0.87,0:36:15
222,1,1525.08740234375,36.63,0,1,0.87,0:34:36
223,1,62.17602157592773,36.63,1,0,0.87,0:39:43
224,1,220.8075714111328,36.63,1,0,0.87,0:36:35
225,2,16.83182334899902,36.63,1,0,0.87,0:35:54
226,1,181.5143737792969,36.63,1,0,0.87,0:36:54
227,1,13.81503200531006,36.63,1,0,0.87,0:36:15
228,1,31.52193450927734,36.63,1,0,0.87,0:37:25
229,1,14.447757720947273,36.63,1,0,0.87,0:37:45
230,1,169.6335296630859,36.63,1,0,0.87,0:35:27
231,1,10.44183731079102,36.63,1,0,0.87,0:35:59
232,1,392.9354553222656,36.63,1,0,0.87,0:35:56
233,1,140.6603088378906,36.63,1,0,0.87,0:36:54
234,1,37.14537048339844,36.63,0,1,0.87,0:36:04
235,1,16.83182334899902,36.63,1,0,0.87,0:36:08
236,1,0.6114726066589355,36.63,1,0,0.87,0:36:48
237,1,91.7226791381836,36.63,1,0,0.87,0:37:12
238,1,237.6291656494141,36.63,1,0,0.87,0:37:08
239,1,2229.72216796875,36.63,1,0,0.87,0:36:05
240,1,17.22419548034668,36.63,1,0,0.87,0:35:22
241,1,37.9741325378418,36.63,1,0,0.87,0:37:53
242,1,55.65824508666992,36.63,1,0,0.87,0:35:26
243,1,42.68008041381836,36.63,1,0,0.87,0:36:19
244,1,1623.9774169921882,36.63,1,0,0.87,0:36:26
245,1,9.36025619506836,36.63,1,0,0.87,0:36:45
246,1,12.58986759185791,36.63,1,0,0.87,0:36:19
247,1,133.20930480957028,36.63,1,0,0.87,0:35:09
248,1,9.794013023376463,36.63,1,0,0.87,0:36:06
249,1,220.8075714111328,36.63,1,0,0.87,0:37:31
250,1,91.7226791381836,36.63,1,0,0.87,0:38:16
251,1,37.85586547851562,36.63,1,0,0.87,0:36:44
252,1,118.26126098632808,36.63,1,0,0.87,0:37:15
253,1,1.91899299621582,36.63,1,0,0.87,0:38:09
254,1,16.84739112854004,36.63,1,0,0.87,0:37:08
255,1,259.998291015625,36.63,1,0,0.87,0:35:27
256,1,1300.004516601562,36.63,1,0,0.87,0:38:00
257,1,4.209059238433838,36.63,1,0,0.87,0:34:40
258,1,19.24552345275879,36.63,1,0,0.87,0:37:29
259,1,228.6362762451172,36.63,1,0,0.87,0:37:51
260,1,248.2796173095703,36.63,1,0,0.87,0:37:14
261,1,408.2718811035156,36.63,1,0,0.87,0:38:42
262,1,114.818359375,36.63,1,0,0.87,0:37:10
263,1,31.52193450927734,36.63,1,0,0.87,0:34:24
264,1,14.32654094696045,36.63,1,0,0.87,0:33:35
265,1,12.35730648040771,36.63,1,0,0.87,0:37:26
266,1,291.1369323730469,36.63,1,0,0.87,0:38:58
267,1,10.44183731079102,36.63,1,0,0.87,0:37:49
268,3,56.084815979003906,36.63,1,0,0.87,0:37:29
269,1,145.4309997558594,36.63,1,0,0.87,0:38:04
270,1,56.084815979003906,36.63,1,0,0.87,0:35:58
271,1,312.8281860351562,36.63,1,0,0.87,0:37:32
272,1,100.7476806640625,36.63,1,0,0.87,0:36:53
273,1,10.44183731079102,36.63,1,0,0.87,0:34:58
274,1,140.9563293457031,36.63,1,0,0.87,0:36:24
275,1,571.0994873046875,36.63,1,0,0.87,0:37:49
276,1,31.97005462646484,36.63,1,0,0.87,0:37:19
277,1,73.2974853515625,36.63,1,0,0.87,0:38:07
278,1,274.2550659179688,36.63,1,0,0.87,0:36:09
279,1,36.52098846435547,36.63,1,0,0.87,0:36:55
280,1,395.2044982910156,36.63,1,0,0.87,0:37:54
281,1,222.6811370849609,36.63,1,0,0.87,0:36:59
282,1,86.84709167480469,36.63,1,0,0.87,0:35:20
283,1,35.90165328979492,36.63,1,0,0.87,0:37:39
284,1,233.2363739013672,36.63,1,0,0.87,0:35:26
285,1,287.1083679199219,36.63,1,0,0.87,0:36:55
286,1,7.150104522705077,36.63,1,0,0.87,0:37:59
287,1,1.7231634855270392,36.63,1,0,0.87,0:36:48
288,1,159.9830627441406,36.63,1,0,0.87,0:37:02
289,1,10.44183731079102,36.63,1,0,0.87,0:37:25
290,1,10.44776248931885,36.63,1,0,0.87,0:37:17
291,1,151.7768249511719,36.63,1,0,0.87,0:37:30
292,1,267.18069458007807,36.63,1,0,0.87,0:37:58
293,1,10.06689834594727,36.63,1,0,0.87,0:36:29
294,1,24.13339424133301,36.63,1,0,0.87,0:36:07
295,1,131.0602111816406,36.63,1,0,0.87,0:36:43
296,1,47.37548446655273,36.63,1,0,0.87,0:37:55
297,1,232.5149993896484,36.63,1,0,0.87,0:35:50
298,1,149.2892608642578,36.63,1,0,0.87,0:35:20
299,1,10.96754741668701,36.63,1,0,0.87,0:36:17
300,1,10.44183731079102,36.63,1,0,0.87,0:37:06
301,1,9.66230010986328,36.63,1,0,0.87,0:38:05
302,1,6.240824699401856,36.63,0,1,0.87,0:36:14
303,1,1596.6729736328118,36.63,1,0,0.87,0:37:33
304,1,254.7844543457031,36.63,1,0,0.87,0:37:47
305,1,51.94340515136719,36.63,1,0,0.87,0:35:55
306,1,210.44793701171884,36.63,1,0,0.87,0:37:04
307,1,91.7226791381836,36.63,1,0,0.87,0:37:13
308,1,47.37548446655273,36.63,1,0,0.87,0:38:27
309,1,16.84739112854004,36.63,1,0,0.87,0:36:10
310,1,56.4234848022461,36.63,1,0,0.87,0:35:46
311,1,281.7467041015625,36.63,1,0,0.87,0:37:56
312,1,38.02688980102539,36.63,1,0,0.87,0:34:54
313,1,16.84739112854004,36.63,1,0,0.87,0:37:46
314,1,181.5143737792969,36.63,1,0,0.87,0:38:26
315,1,6.262023448944093,36.63,1,0,0.87,0:37:34
316,1,254.7844543457031,36.63,1,0,0.87,0:37:52
317,1,50.26950454711914,36.63,1,0,0.87,0:38:08
318,1,275.6912841796875,36.63,1,0,0.87,0:37:22
319,1,71.07490539550781,36.63,1,0,0.87,0:36:16
320,1,614.4942016601562,36.63,1,0,0.87,0:38:01
321,1,384.0559692382812,36.63,1,0,0.87,0:36:44
322,1,398.2716369628906,36.63,1,0,0.87,0:36:49
323,1,222.5667419433594,36.63,1,0,0.87,0:37:38
324,1,346.0,36.63,1,0,0.87,0:37:50
325,1,77.97574615478516,36.63,1,0,0.87,0:38:14
326,1,200.49078369140616,36.63,1,0,0.87,0:37:08
327,1,37.31060028076172,36.63,1,0,0.87,0:37:23
328,1,350.7449645996094,36.63,0,1,0.87,0:38:09
329,1,14.36327362060547,36.63,1,0,0.87,0:37:48
330,1,10.44183731079102,36.63,1,0,0.87,0:38:13
331,1,14.32654094696045,36.63,1,0,0.87,0:37:31
332,1,159.2595977783203,36.63,1,0,0.87,0:36:59
333,1,484.7640075683594,36.63,1,0,0.87,0:37:52
334,1,10.44183731079102,36.63,1,0,0.87,0:36:17
335,1,225.5588531494141,36.63,1,0,0.87,0:37:19
336,1,249.107666015625,36.63,1,0,0.87,0:36:54
337,1,45.669700622558594,36.63,1,0,0.87,0:40:15
338,1,288.391845703125,36.63,1,0,0.87,0:39:04
339,1,86.84709167480469,36.63,1,0,0.87,0:36:44
340,1,1596.6729736328118,36.63,1,0,0.87,0:37:29
341,1,279.2320556640625,36.63,1,0,0.87,0:37:12
342,1,259.998291015625,36.63,1,0,0.87,0:37:39
343,1,31.97005462646484,36.63,1,0,0.87,0:37:41
344,1,151.7860565185547,36.63,1,0,0.87,0:37:43
345,1,206.5709381103516,36.63,1,0,0.87,0:36:50
346,1,647.6728515625,36.63,1,0,0.87,0:35:18
347,1,380.0,36.63,1,0,0.87,0:37:06
348,1,2.599183320999146,36.63,1,0,0.87,0:37:07
349,1,10.44776248931885,36.63,1,0,0.87,0:36:15
350,1,2299.197509765625,36.63,1,0,0.87,0:37:19
351,1,10.44776248931885,36.63,1,0,0.87,0:38:08
352,1,447.4283447265625,36.63,1,0,0.87,0:36:20
353,1,19.60500144958496,36.63,1,0,0.87,0:36:36
354,1,181.5143737792969,36.63,1,0,0.87,0:36:18
355,1,313.7461853027344,36.63,1,0,0.87,0:38:33
356,1,5.63741397857666,36.63,1,0,0.87,0:38:36
357,1,220.0638275146484,36.63,1,0,0.87,0:37:16
358,1,211.6295166015625,36.63,1,0,0.87,0:37:28
359,1,254.7844543457031,36.63,1,0,0.87,0:36:44
360,1,162.2778472900391,36.63,1,0,0.87,0:38:35
361,1,5.020810604095459,36.63,1,0,0.87,0:38:06
362,1,145.4309997558594,36.63,1,0,0.87,0:37:27
363,1,181.5143737792969,36.63,1,0,0.87,0:38:01
364,1,134.9916687011719,36.63,1,0,0.87,0:38:50
365,1,275.03494262695307,36.63,1,0,0.87,0:36:07
366,1,413.7853393554688,36.63,1,0,0.87,0:37:42
367,1,181.5143737792969,36.63,1,0,0.87,0:38:05
368,1,113.38473510742192,36.63,1,0,0.87,0:38:37
369,1,181.5143737792969,36.63,1,0,0.87,0:37:41
370,1,15.55781936645508,36.63,1,0,0.87,0:37:44
371,1,62.17453002929688,36.63,1,0,0.87,0:36:33
372,1,10.44776248931885,36.63,1,0,0.87,0:37:19
373,1,233.2363739013672,36.63,1,0,0.87,0:38:45
374,1,120.0689849853516,36.63,1,0,0.87,0:36:08
375,1,10.44776248931885,36.63,1,0,0.87,0:37:07
376,1,28.92981338500977,36.63,1,0,0.87,0:37:45
377,1,351.0,36.63,1,0,0.87,0:37:49
378,1,8.194785118103027,36.63,1,0,0.87,0:38:44
379,1,22.12597465515137,36.63,1,0,0.87,0:38:33
380,1,201.6867523193359,36.63,1,0,0.87,0:37:46
381,1,15.55781936645508,36.63,1,0,0.87,0:35:46
382,1,31.97005462646484,36.63,1,0,0.87,0:38:24
383,1,69.10917663574219,36.63,1,0,0.87,0:38:14
384,1,285.1146850585938,36.63,1,0,0.87,0:37:13
385,1,19.45760154724121,36.63,1,0,0.87,0:38:10
386,1,15.55781936645508,36.63,1,0,0.87,0:36:48
387,1,3.742521524429321,36.63,1,0,0.87,0:37:58
388,1,127.81753540039058,36.63,1,0,0.87,0:38:40
389,1,15.55781936645508,36.63,1,0,0.87,0:35:50
390,1,9.335716247558594,36.63,1,0,0.87,0:37:09
391,1,8.94913387298584,36.63,1,0,0.87,0:38:47
392,1,260.84353637695307,36.63,1,0,0.87,0:37:04
393,1,16.20237159729004,36.63,1,0,0.87,0:37:48
394,1,238.2223663330078,36.63,1,0,0.87,0:38:06
395,1,233.2363739013672,36.63,1,0,0.87,0:37:59
396,1,368.8425903320312,36.63,1,0,0.87,0:37:25
397,1,11.05302143096924,36.63,1,0,0.87,0:37:53
398,1,199.2205810546875,36.63,1,0,0.87,0:37:04
399,1,376.4162902832031,36.63,1,0,0.87,0:37:50
400,1,119.56497192382808,36.63,1,0,0.87,0:38:28
401,1,544.2213134765625,36.63,1,0,0.87,0:37:53
402,1,374.1132507324219,36.63,1,0,0.87,0:35:26
403,1,63.27411651611328,36.63,1,0,0.87,0:38:04
404,1,15.55781936645508,36.63,1,0,0.87,0:38:57
405,1,149.1394653320312,36.63,1,0,0.87,0:39:23
406,1,18.05331420898438,36.63,1,0,0.87,0:37:41
407,1,133.0,36.63,1,0,0.87,0:38:32
408,1,14.566981315612788,36.63,1,0,0.87,0:36:10
409,1,221.982177734375,36.63,1,0,0.87,0:39:42
410,1,56.084815979003906,36.63,1,0,0.87,0:39:48
411,1,229.17529296875,36.63,1,0,0.87,0:35:29
412,1,614.4942016601562,36.63,1,0,0.87,0:38:22
413,1,1923.755615234375,36.63,1,0,0.87,0:36:27
414,1,181.5143737792969,36.63,1,0,0.87,0:39:45
415,1,1046.732788085938,36.63,1,0,0.87,0:35:51
416,1,614.4942016601562,36.63,1,0,0.87,0:38:38
417,1,1729.5029296875,36.63,1,0,0.87,0:37:55
418,1,757.4893188476562,36.63,1,0,0.87,0:35:47
419,1,259.998291015625,36.63,1,0,0.87,0:37:18
420,1,15.079251289367681,36.63,1,0,0.87,0:37:51
421,1,614.4942016601562,36.63,1,0,0.87,0:37:42
422,1,5.020810604095459,36.63,1,0,0.87,0:37:14
423,1,1831.0819091796882,36.63,1,0,0.87,0:38:58
424,1,288.391845703125,36.63,1,0,0.87,0:37:11
425,1,4.784560680389403,36.63,1,0,0.87,0:36:30
426,1,147.0316009521484,36.63,1,0,0.87,0:39:45
427,1,33.1964111328125,36.63,1,0,0.87,0:38:46
428,1,447.4283447265625,36.63,1,0,0.87,0:37:56
429,1,47.37548446655273,36.63,1,0,0.87,0:38:23
430,1,10.44183731079102,36.63,1,0,0.87,0:38:42
431,1,139.42889404296878,36.63,1,0,0.87,0:35:56
432,1,0.0,36.63,1,0,0.87,0:37:46
433,1,1816.216796875,36.63,1,0,0.87,0:32:11
434,1,91.7226791381836,36.63,1,0,0.87,0:37:29
435,1,203.7541961669922,36.63,1,0,0.87,0:39:43
436,1,278.0033569335938,36.63,1,0,0.87,0:37:13
437,1,254.7844543457031,36.63,1,0,0.87,0:35:39
438,1,146.087158203125,36.63,1,0,0.87,0:39:20
439,1,197.583984375,36.63,1,0,0.87,0:41:02
440,1,3.849352598190308,36.63,1,0,0.87,0:37:12
441,1,259.998291015625,36.63,1,0,0.87,0:37:11
442,1,61.70027160644531,36.63,1,0,0.87,0:38:42
443,1,51.94340515136719,36.63,1,0,0.87,0:38:23
444,1,36.19046020507812,36.63,1,0,0.87,0:38:43
445,1,18.05331420898438,36.63,1,0,0.87,0:38:28
446,1,16.84739112854004,36.63,1,0,0.87,0:38:25
